,K,F,Moneyness,opt_type,T,price,implied_vol
84,2270.0,2749.32989979,82.5655735301,put,0.02,0.1,47.1978233249
85,2430.0,2749.32989979,88.3851734265,put,0.02,0.35,36.2331830476
86,2300.0,2778.51665839,82.7779813035,put,1.78,97.45,20.378915877
87,2915.0,2752.13564698,105.917744396,call,0.19,5.9,10.2419517496
88,2330.0,2749.32989979,84.7479234913,put,0.02,0.15,42.9414809723
89,2875.0,2761.89547187,104.095177724,call,0.78,86.65,13.725895214
90,1525.0,2749.32989979,55.4680615125,put,0.02,0.025,120.846205946
91,2325.0,2757.92120455,84.3026260564,put,0.54,30.35,21.9773941446
92,2620.0,2749.32989979,95.2959483035,put,0.02,2.55,22.7622537723
93,3150.0,2749.32989979,114.57337296,call,0.02,0.025,30.2410592913
94,2040.0,2749.32989979,74.1998986791,put,0.02,0.05,66.994674031
95,2250.0,2770.19359925,81.2217601185,put,1.28,64.4,21.3723414074
96,1550.0,2757.92120455,56.2017507043,put,0.54,1.825,33.9661596159
97,2585.0,2749.32989979,94.0229108262,put,0.02,1.575,25.0759079781
98,1725.0,2778.51665839,62.0834859776,put,1.78,26.25,25.3991276824
99,3350.0,2757.92120455,121.468299909,call,0.54,1.725,12.5109437411
100,2920.0,2749.32989979,106.207698109,call,0.02,0.05,15.3205245513
101,2415.0,2749.32989979,87.8395859362,put,0.02,0.325,37.5089074203
102,2350.0,2770.19359925,84.8316161237,put,1.28,81.0,20.3547358231
103,1350.0,2749.32989979,49.1028741258,put,0.02,0.025,144.594907661
104,3900.0,2795.23787182,139.523009448,call,2.78,16.4,12.609185072
105,1400.0,2795.23787182,50.0851828788,put,2.78,22.0,26.6850231828
106,2945.0,2749.32989979,107.117010593,call,0.02,0.05,17.2606702685
107,3030.0,2749.32989979,110.208673038,call,0.02,0.025,22.2330586099
108,1875.0,2749.32989979,68.1984362859,put,0.02,0.025,80.2955254478
109,1100.0,2770.19359925,39.7084160579,put,1.28,1.95,34.3838737024
110,1400.0,2757.92120455,50.7628716039,put,0.54,1.075,36.9796891884
111,2125.0,2770.19359925,76.7094401119,put,1.28,47.75,22.635039635
112,2220.0,2749.32989979,80.7469485625,put,0.02,0.1,52.2094320388
113,2925.0,2778.51665839,105.271997962,call,1.78,159.75,14.998906043
114,3300.0,2778.51665839,118.768407957,call,1.78,39.35,12.5256544567
115,3025.0,2778.51665839,108.871040627,call,1.78,116.7,14.2440462363
116,1830.0,2749.32989979,66.561673815,put,0.02,0.025,85.0933661381
117,2650.0,2749.32989979,96.3871232841,put,0.02,3.95,20.7167436069
118,1700.0,2757.92120455,61.6406298047,put,0.54,3.15,31.2821259986
119,2600.0,2778.51665839,93.5751092996,put,1.78,171.15,17.6709010129
120,2080.0,2749.32989979,75.6547986532,put,0.02,0.05,62.9238696698
121,2030.0,2749.32989979,73.8361736855,put,0.02,0.05,68.0228372976
122,1700.0,2770.19359925,61.3675520895,put,1.28,15.2,26.9952793065
123,4100.0,2761.89547187,148.448775189,call,0.78,0.35,15.9374864686
124,3700.0,2778.51665839,133.164578619,call,1.78,7.25,11.9449518997
125,1450.0,2778.51665839,52.1861186478,put,1.78,12.15,28.0174810347
126,3025.0,2761.89547187,109.526230475,call,0.78,31.8,11.829361888
127,1890.0,2749.32989979,68.7440237762,put,0.02,0.025,78.7194173403
128,2750.0,2778.51665839,98.9736732976,put,1.78,221.4,16.1917588959
129,2775.0,2761.89547187,100.47447589,call,0.78,141.45,15.2432404468
130,400.0,2761.89547187,14.4828073356,put,0.78,0.05,64.3732312072
131,2960.0,2749.32989979,107.662598083,call,0.02,0.05,18.4069507863
132,2000.0,2749.32989979,72.744998705,put,0.02,0.025,67.4906323218
133,2725.0,2778.51665839,98.0739126313,put,1.78,212.45,16.4568587536
134,2975.0,2757.92120455,107.871102158,call,0.54,24.1,11.4514048966
135,3000.0,2770.19359925,108.295680158,call,1.28,82.55,13.4244397041
136,900.0,2761.89547187,32.586316505,put,0.78,0.375,44.3807552512
137,2665.0,2749.32989979,96.9327107744,put,0.02,5.05,19.772873341
138,1900.0,2795.23787182,67.9727481927,put,2.78,70.2,22.9482558361
139,2260.0,2749.32989979,82.2018485366,put,0.02,0.1,48.1939442843
140,2870.0,2749.32989979,104.389073142,call,0.02,0.125,12.519399074
141,1850.0,2778.51665839,66.5822893093,put,1.78,36.05,24.28815238
142,2590.0,2749.32989979,94.2047733229,put,0.02,1.675,24.7229169525
143,1275.0,2749.32989979,46.3749366744,put,0.02,0.025,155.709720279
144,2435.0,2749.32989979,88.5670359233,put,0.02,0.4,36.2870446528
145,2225.0,2770.19359925,80.3192961171,put,1.28,60.7,21.621332145
146,1825.0,2761.89547187,66.0778084685,put,0.78,9.4,27.3186902667
147,2675.0,2770.19359925,96.5636481408,put,1.28,160.0,16.7356660493
148,2675.0,2778.51665839,96.2743912986,put,1.78,194.8,16.9314201879
149,1300.0,2757.92120455,47.1369522036,put,0.54,0.75,39.1341116368
150,1910.0,2749.32989979,69.4714737632,put,0.02,0.025,76.6353557572
151,3350.0,2778.51665839,120.56792929,call,1.78,31.55,12.3262509171
152,2865.0,2749.32989979,104.207210645,call,0.02,0.15,12.3448660148
153,2900.0,2770.19359925,104.685824153,call,1.28,126.1,14.4576464832
154,2130.0,2749.32989979,77.4734236208,put,0.02,0.05,57.9251967572
155,2425.0,2761.89547187,87.8020194718,put,0.78,61.55,20.0867223512
156,2370.0,2749.32989979,86.2028234654,put,0.02,0.225,40.61228097
157,3125.0,2778.51665839,112.470083293,call,1.78,81.55,13.5384028914
158,1940.0,2749.32989979,70.5626487438,put,0.02,0.05,77.4771028771
159,1300.0,2761.89547187,47.0691238406,put,0.78,1.3,34.6934324274
160,2900.0,2795.23787182,103.74787882,call,2.78,248.7,16.0131492021
161,2830.0,2749.32989979,102.934173168,call,0.02,0.55,11.0598162208
162,2100.0,2778.51665839,75.5798959727,put,1.78,64.35,22.1271730881
163,1950.0,2749.32989979,70.9263737373,put,0.02,0.025,72.5250630361
164,2950.0,2795.23787182,105.536635352,call,2.78,225.5,15.7678311238
165,800.0,2761.89547187,28.9656146711,put,0.78,0.275,47.5165940426
166,2625.0,2778.51665839,94.4748699659,put,1.78,178.9,17.4370981231
167,1850.0,2795.23787182,66.1839916613,put,2.78,63.25,23.2811582568
168,2420.0,2749.32989979,88.021448433,put,0.02,0.325,36.9763552122
169,2030.0,2752.13564698,73.7608991849,put,0.19,2.275,33.3936801833
170,3900.0,2761.89547187,141.207371522,call,0.78,0.525,14.7303200765
171,1200.0,2761.89547187,43.4484220067,put,0.78,0.9,36.569104374
172,2615.0,2749.32989979,95.1140858067,put,0.02,2.35,23.0410166181
173,2300.0,2770.19359925,83.0266881211,put,1.28,72.4,20.8769122315
174,2575.0,2749.32989979,93.6591858326,put,0.02,1.375,25.7102345409
175,300.0,2761.89547187,10.8621055017,put,0.78,0.025,70.6274246504
176,2225.0,2749.32989979,80.9288110593,put,0.02,0.1,51.704698802
177,1750.0,2770.19359925,63.1724800921,put,1.28,17.55,26.4512108342
178,2875.0,2778.51665839,103.472476629,call,1.78,184.0,15.3830013516
179,2175.0,2749.32989979,79.1101860916,put,0.02,0.075,55.3650465006
180,1975.0,2749.32989979,71.8356862212,put,0.02,0.025,69.993882669
181,2685.0,2749.32989979,97.6601607614,put,0.02,7.05,18.4772471877
182,1575.0,2757.92120455,57.1082305543,put,0.54,1.975,33.4496929578
183,1475.0,2761.89547187,53.4053520499,put,0.78,2.575,31.9518958886
184,1810.0,2749.32989979,65.834223828,put,0.02,0.025,87.2603743139
185,1950.0,2778.51665839,70.1813319747,put,1.78,45.8,23.4123614277
186,1675.0,2757.92120455,60.7341499546,put,0.54,2.925,31.7907089824
